branch_id,branch_label,mu,Lambda,sorted_position,n_halfwaves_left,n_halfwaves_right,nearest_left_reference_family,nearest_right_reference_family,tracking_mac,branch_behavior
bending_desc_01,потомок 1-й изгибной ветви,0.18125,5.2079913060351934,2,1,2,1,2,0.9999562816523317,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.18375,5.218562637171387,2,1,2,1,2,0.9999545561935286,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.18625,5.229116169697428,2,1,2,1,2,0.9999526283169743,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.1875,5.2343838843629715,2,1,2,1,2,0.9999877612935506,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.18875,5.239644204284524,2,1,2,1,2,0.9999874793648657,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.19125,5.25013892393221,2,1,2,1,2,0.9999481125031718,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.19375,5.260591934416858,2,1,2,1,2,0.9999454959910166,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.19625,5.270994224758258,2,1,2,1,2,0.999942619860517,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.19875,5.281336284548261,2,1,2,1,2,0.9999394677407882,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.2,5.286481781385677,2,1,2,1,2,0.9999842291647616,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.20125,5.291608352831996,2,1,2,1,2,0.9999837795079869,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.20375,5.301799563615903,2,1,2,1,2,0.9999322683837341,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.20625,5.3118988309411455,2,1,2,1,2,0.9999281870248715,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.20875,5.321894191211277,2,1,2,1,2,0.9999237623434593,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.21125,5.3317732874861665,2,1,2,1,2,0.9999189787206558,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.2125,5.336665028326992,2,1,2,1,2,0.999978787757817,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.21375,5.341522754788992,2,1,2,1,2,0.9999781193548777,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.21625,5.351128741225755,2,1,2,1,2,0.9999082818687733,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.21875,5.360576724580397,2,1,2,1,2,0.9999023486606331,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.22125,5.369851379743656,2,1,2,1,2,0.9998960193189018,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.22375,5.378936784894475,2,1,2,1,2,0.9998892951396091,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.225,5.383403419830922,2,1,2,1,2,0.9999709995570208,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.22625,5.3878165514540495,2,1,2,1,2,0.9999700871005278,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.22875,5.396473386442857,2,1,2,1,2,0.9998747054095133,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.23125,5.404889807830225,2,1,2,1,2,0.9998668830426789,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.23375,5.41304781436386,2,1,2,1,2,0.9998587555896015,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.23625,5.420929131426944,2,1,2,1,2,0.9998503729260058,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.2375,5.424760250249803,2,1,2,1,2,0.9999609865478062,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.23875,5.428515234192529,2,1,2,1,2,0.9999599055771858,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.24125,5.435787664847754,2,1,2,1,2,0.9998331105082322,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.24375,5.442728268073236,2,1,2,1,2,0.9998243998962454,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.24625,5.449319070406249,2,1,2,1,2,0.9998157729490523,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.24875,5.455542785394582,2,1,2,1,2,0.9998073471122055,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.25,5.45851176188687,2,1,2,1,2,0.9999503019202122,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.25125,5.461382991681906,2,1,2,1,2,0.999949315648284,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.25375,5.466824307174149,2,1,2,1,2,0.9997916185900764,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.25625,5.471852795039265,2,1,2,1,2,0.999784588810154,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.25875,5.476455917672898,2,1,2,1,2,0.999778297059715,"сначала возрастает, затем убывает; максимум около μ=0.2850"
