"branch_id","mu","Lambda","sorted_position","n_halfwaves_left","n_halfwaves_right","nearest_left_reference_family","nearest_right_reference_family","left_bending_energy_fraction","right_bending_energy_fraction","localization_ratio","arm_bias","left_tip_amplitude_fraction","right_tip_amplitude_fraction"
"bending_desc_01","0.31624999999999998","5.4657288941584925","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.31874999999999998","5.4612209576924808","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.32124999999999998","5.4564969246460251","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.32374999999999998","5.4515698738945906","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.32500000000000001","5.449034139036006","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.32624999999999998","5.4464526037805969","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.32874999999999999","5.4411574564906431","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.33124999999999999","5.4356960003486812","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.33374999999999999","5.4300790139216231","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.33624999999999999","5.4243170334671396","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.33750000000000002","5.4213847226120668","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.33875","5.4184196144571573","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.34125","5.4123963914618072","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.34375","5.4062557734314849","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.34625","5.4000059891772993","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.34875","5.3936546569266408","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.34999999999999998","5.3904432371797828","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.35125000000000001","5.387209269876327","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.35375000000000001","5.3806763438230698","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.35625000000000001","5.3740622613287998","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.35875000000000001","5.3673731727058538","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.36125000000000002","5.3606145418116116","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.36249999999999999","5.3572106657865071","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.375","5.3224179827429756","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.38750000000000001","5.2865969081179269","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.40000000000000002","5.2501340818108639","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.41249999999999998","5.2133133302693899","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.41375000000000001","5.2096203001822303","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.41625000000000001","5.2022303310811751","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.41875000000000001","5.1948365807699401","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.42125000000000001","5.1874404037513901","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.42375000000000002","5.1800430292470709","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.42499999999999999","5.1763442468970746","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.42625000000000002","5.1726454189623698","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.42875000000000002","5.1652489372369494","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.43125000000000002","5.1578544056140432","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.43375000000000002","5.150462595198956","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.43625000000000003","5.1430748340469883","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.4375","5.1393825323758628","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.43874999999999997","5.135691509799841","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.44124999999999998","5.1283138315668513","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.44374999999999998","5.1209423035821402","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.44624999999999998","5.1135776770574397","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.44874999999999998","5.1062208645157554","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.45000000000000001","5.1025454572962854","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.45124999999999998","5.0988722009240819","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.45374999999999999","5.0915322231384774","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.45624999999999999","5.0842017875800822","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
