"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.33374999999999999","5.4300790139216231","6.4885993152081571","1.0585203012865341","0.17762377204181498","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.33624999999999999","5.4243170334671396","6.5043343864184164","1.0800173529512769","0.18107953949443828","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.33750000000000002","5.4213847226120668","6.5122895204985749","1.0909047978865081","0.18282798334574818","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.33875","5.4184196144571573","6.5203007105874038","1.1018810961302465","0.18458948130626116","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.34125","5.4123963914618072","6.5364835913602946","1.1240871998984874","0.18814938329190564","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.34375","5.4062557734314849","6.5528682273066847","1.1466124538751998","0.19175525796110582","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.34625","5.4000059891772993","6.5694397783979745","1.1694337892206752","0.19540316434510649","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.34875","5.3936546569266408","6.5861830629217923","1.1925284059951515","0.19908924208870488","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.34999999999999998","5.3904432371797828","6.5946141624516779","1.2041709252718951","0.20094537474787949","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.35125000000000001","5.387209269876327","6.6030824479485606","1.2158731780722336","0.20280960742009377","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.35375000000000001","5.3806763438230698","6.6201221873242568","1.239445843501187","0.2065605618299953","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.35625000000000001","5.3740622613287998","6.6372856901057018","1.263223428776902","0.21033832903425909","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.35875000000000001","5.3673731727058538","6.6545556362954414","1.2871824635895877","0.21413909265971082","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.36125000000000002","5.3606145418116116","6.671913853201711","1.3112993113900995","0.21795906368831761","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.36249999999999999","5.3572106657865071","6.6806201523755888","1.3234094865890818","0.21987507659476085","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.375","5.3224179827429756","6.7680366681824449","1.4456186854394693","0.23913388324546087","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.38750000000000001","5.2865969081179269","6.8537381793669283","1.5671412712490014","0.25817100762968648","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.40000000000000002","5.2501340818108639","6.9330793044105317","1.6829452225996677","0.27627279753681311","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.41249999999999998","5.2133133302693899","6.9994542161692719","1.786140885899882","0.292503870086471","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.41375000000000001","5.2096203001822303","7.0050827874144392","1.7954624872322089","0.29398381186283573","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.41625000000000001","5.2022303310811751","7.0156933423619181","1.8134630112807431","0.29685289575388174","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.41875000000000001","5.1948365807699401","7.025399655637405","1.8305630748674648","0.29959536615400756","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.42125000000000001","5.1874404037513901","7.0341584951191534","1.8467180913677632","0.30220564537401523","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.42375000000000002","5.1800430292470709","7.0419359395177601","1.8618929102706891","0.30467944921670154","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.42499999999999999","5.1763442468970746","7.0454489443964272","1.8691046974993526","0.3058642325630016","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.42625000000000002","5.1726454189623698","7.048708902027883","1.8760634830655132","0.30701400741542406","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.42875000000000002","5.1652489372369494","7.0544663051409264","1.889217367903977","0.30920808389252574","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.43125000000000002","5.1578544056140432","7.0592088636405652","1.901354458026522","0.3112621120349699","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.43375000000000002","5.150462595198956","7.0629490361971152","1.9124864409981592","0.31317808630667593","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.43625000000000003","5.1430748340469883","7.0657101774975812","1.9226353434505929","0.31495932504873464","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.4375","5.1393825323758628","7.0667336351773109","1.9273511028014481","0.31580087823919228","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.43874999999999997","5.135691509799841","7.0675250843071442","1.9318335745073032","0.31661055257188481","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.44124999999999998","5.1283138315668513","7.0684340127567191","1.9401201811898678","0.3181372946219938","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.44374999999999998","5.1209423035821402","7.0684834017652136","1.9475410981830734","0.31954599753271568","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.44624999999999998","5.1135776770574397","7.0677236731050908","1.954145996047651","0.32084355191189445","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.44874999999999998","5.1062208645157554","7.0662074776925206","1.9599866131767651","0.32203707560642608","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.45000000000000001","5.1025454572962854","7.0651825505321693","1.9626370932358839","0.32259713431680348","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.45124999999999998","5.0988722009240819","7.0639885841995049","1.965116383275423","0.32313391035092004","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.45374999999999999","5.0915322231384774","7.0611197364945948","1.9695875133561174","0.3241411866148079","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.45624999999999999","5.0842017875800822","7.0576527848017161","1.9734509972216339","0.32506582671653811","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.45874999999999999","5.076881551271744","7.0536375056202747","1.9767559543485307","0.32591448809033874","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.46124999999999999","5.0695715489901483","7.0491206952207985","1.9795491462306503","0.32669352539689639","2","3","1","2","1","3"
